"time_ms","x","y","z","qw","qx","qy","qz","abdomen_z","abdomen_y","abdomen_x","hip_x_right","hip_z_right","hip_y_right","knee_right","ankle_y_right","ankle_x_right","hip_x_left","hip_z_left","hip_y_left","knee_left","ankle_y_left","ankle_x_left","shoulder1_right","shoulder2_right","elbow_right","shoulder1_left","shoulder2_left","elbow_left"
0,0.1337603,0.918602295,0.097089043,-0.983411,0.010787,-0.180802,0.009864,-0.0323026256587804,0.336299683590733,-0.0489010594488,0.0865278894893227,0.0120600211859371,0.321783244047861,0.264302223158118,-0.0531398980442738,0.0560444290785861,-0.12672203482417,-0.0302283526053173,0.309581595422526,0.226468632502033,0.023713855598559,0.0225946663605487,-0.0897243974629055,-0.228349339696394,0.706523485834696,-0.194637610475077,0.284746163326546,-1.35977024664177
8.333,0.13379567,0.918599854,0.097105896,-0.983406,0.010749,-0.180829,0.009903,-0.0323668395276428,0.336321033434897,-0.0488576163838831,0.0865632854947282,0.0120358820306385,0.321841216331017,0.264313971467034,-0.0531037667082254,0.0560436185128718,-0.126473064295048,-0.0303219708029307,0.309502018974188,0.22621174951314,0.0238077316513977,0.0223252400989888,-0.0898125490579558,-0.228315495656116,0.706687051041061,-0.194572549544442,0.284553129618854,-1.36019715961412
16.667,0.133846039,0.918599792,0.097133331,-0.983405,0.010725,-0.180835,0.009941,-0.0325002703621889,0.33635878949495,-0.0488486150349424,0.0865918323158595,0.0119861258702525,0.321849530793132,0.264347086895922,-0.0531284926459574,0.0561212747847244,-0.126333301506289,-0.0303739112132532,0.309422782588325,0.226117759236407,0.0238327891339303,0.0222689354818995,-0.0897801693385603,-0.228366865242166,0.706571483542473,-0.194568052931126,0.28436240615939,-1.36057993828814
25,0.13390831,0.918602295,0.097166061,-0.983413,0.010716,-0.180793,0.009961,-0.0324935253971626,0.336290149386754,-0.0488318637167784,0.0866022516843697,0.0119253523008731,0.321857843813056,0.264398415707466,-0.053092799851728,0.0561888092564534,-0.126234720267414,-0.0304375888750651,0.309299676098265,0.226085115939416,0.0238182767931162,0.0222249641568709,-0.0898193506313412,-0.228452429480132,0.706437257214906,-0.1945138410909,0.284264825824691,-1.36084295399232
33.333,0.133961639,0.918595764,0.097194389,-0.983417,0.010712,-0.180768,0.009973,-0.0324996879503321,0.336255719935072,-0.0488139450381919,0.0866061960909473,0.0118775379523037,0.321817573777635,0.264424415746002,-0.0531540513603041,0.0562301999633536,-0.126174003196116,-0.0304940926533795,0.309193163533449,0.226106537702388,0.0238271962720002,0.0222686009149127,-0.0898726672285529,-0.228501906112965,0.706376791112035,-0.194520190401655,0.284047212201503,-1.36122970721707
41.667,0.134013947,0.918584473,0.097232765,-0.983425,0.010713,-0.180722,0.009989,-0.0325059973135352,0.336203158629482,-0.0487997573418614,0.0866134602047506,0.0118235348710095,0.321807496012419,0.264505435980422,-0.0531000105917011,0.056272482841186,-0.126123700490429,-0.0305660139852993,0.308925089101669,0.226148246526016,0.0237548991043468,0.0222232258848913,-0.0899676431723126,-0.228597895305893,0.706198231131023,-0.194499874469789,0.283876443430409,-1.36153885287572
50,0.134068298,0.918575745,0.097262924,-0.983429,0.010715,-0.180701,0.01,-0.0325094330644371,0.336180917235854,-0.0487877133183597,0.0866084133168687,0.0117704063597825,0.321771214459587,0.264565301549109,-0.0531382442158152,0.0562980950841879,-0.126070673146306,-0.0306196873957187,0.308818798507079,0.226180032403256,0.0238051199593498,0.0222263259100986,-0.0900264440696276,-0.228613810481265,0.706153284125985,-0.194530300235668,0.283825618874852,-1.36151916001208
58.333,0.134130341,0.918573303,0.097305832,-0.983432,0.010701,-0.180686,0.010008,-0.0324617511648188,0.336188726927504,-0.0487209011428818,0.0866397078195903,0.0117142218843757,0.321761431978119,0.264645676556388,-0.0530996439589453,0.0563736649635962,-0.125989147594804,-0.0306783068835583,0.308762767857723,0.226215785870864,0.0238494540578698,0.0222354459303856,-0.0901361825549971,-0.228646239961964,0.706173235241004,-0.194916492362765,0.283444231571928,-1.3620716232931
66.667,0.13420282,0.918570251,0.097328979,-0.983431,0.010687,-0.180692,0.010016,-0.0324799760526221,0.336219351364128,-0.0486799869608011,0.0866517056626358,0.0116387009080528,0.321752675201211,0.264665508946809,-0.0530931126344701,0.0564036451131795,-0.125925101314714,-0.0307441589780341,0.308868784164226,0.226214048611493,0.023913163936428,0.0222063522812656,-0.090165741788511,-0.228679466452694,0.706094024907715,-0.195303016209163,0.283101640593177,-1.36257307421912
75,0.134281113,0.918568909,0.097356041,-0.983427,0.010677,-0.180712,0.01002,-0.0324987601030464,0.336231250636973,-0.0486692189280167,0.0866847868613546,0.0115537952008227,0.321774400897496,0.264713997044158,-0.0530826305249584,0.0564018990853967,-0.125852069786308,-0.0308178024438253,0.309053425522513,0.226217505830236,0.0239476741733599,0.0222256439229798,-0.0901599012427143,-0.228651481658338,0.706049227854118,-0.19570146389104,0.283241204064805,-1.36250655007673
83.333,0.134347076,0.918565491,0.097377953,-0.98342,0.010668,-0.180754,0.010021,-0.0325322512158656,0.33628943310667,-0.0486659565702655,0.08671860938188,0.0114937810805882,0.321852017446817,0.264757405026794,-0.0530540994830924,0.0564060333087322,-0.125793261162919,-0.0308800951462178,0.309309646866498,0.226210606504016,0.024123037446681,0.0221809869049446,-0.090193588174382,-0.228459575620882,0.706249563495117,-0.196125929923607,0.283315904956121,-1.36247358120328
91.667,0.134411255,0.918562744,0.097395035,-0.983412,0.010654,-0.180795,0.010024,-0.0325541970847029,0.336368031512675,-0.0486631659866128,0.0867688627215092,0.011438410442204,0.321883015518331,0.264763281245364,-0.0530780879610682,0.0564139855850403,-0.125734991377046,-0.0309383300962081,0.309533516717031,0.226187884034068,0.0242846098011149,0.0221607113553655,-0.0902193490099553,-0.228329136401999,0.70635918055845,-0.196600099010439,0.283281846765506,-1.36266662931602
100,0.1344841,0.918563293,0.097422729,-0.983403,0.010663,-0.180844,0.010013,-0.0325643566234053,0.336477216375138,-0.0486935219374553,0.0868199341668102,0.0113716294574763,0.321972906035512,0.26481227232554,-0.0530151838634559,0.0564914210981447,-0.125912525547982,-0.0309490994878417,0.309830097039239,0.226435361827599,0.0243646135845578,0.0223971838808916,-0.0901981998644075,-0.228162289557651,0.706536232226008,-0.19716955055076,0.283318252771737,-1.36251835713734
108.333,0.134547562,0.918559204,0.097431313,-0.983385,0.010647,-0.180943,0.010022,-0.0326300086147135,0.336630286490171,-0.0486733275038897,0.0868828121051854,0.0113095338168553,0.322125920184592,0.264824519833375,-0.0529115354584131,0.0565160521412219,-0.125961045143845,-0.0309976689540875,0.310239016968199,0.226514391211648,0.0245309383679156,0.0223943476831862,-0.0901523506092397,-0.227971012388857,0.706735535760239,-0.197708956286774,0.283732806318051,-1.36202112463651
116.667,0.13460704,0.91856012,0.097439827,-0.983366,0.010616,-0.181045,0.010028,-0.0326786347395198,0.336773637215003,-0.0486500448051903,0.086973257763776,0.0112596347830767,0.322223414098589,0.264803002052805,-0.0529334566115289,0.0564904199251783,-0.125922393700257,-0.0310224806446962,0.310803545334334,0.226512147608849,0.0247280448647816,0.0223476055936881,-0.0900967158272739,-0.227833823122116,0.706841460211293,-0.198349928862387,0.284067753910295,-1.36150024237645
125,0.134635422,0.918563721,0.097435074,-0.983344,0.01055,-0.181171,0.010066,-0.0328346606228035,0.337016505914316,-0.0485862227173228,0.0870776374989459,0.0112530675314058,0.32237818735718,0.264734369455422,-0.0529052002714515,0.0564845985560972,-0.12553243949486,-0.0310855949310253,0.311189528763073,0.226095255333374,0.0250037038448504,0.0220188934326687,-0.0900028866835424,-0.227663214833385,0.706948174237871,-0.199065670622097,0.283910411505352,-1.36140692805741
133.333,0.134690628,0.918579529,0.097435349,-0.983325,0.010495,-0.181273,0.010093,-0.032936096278065,0.337179033695669,-0.0485601866737299,0.0871796618778873,0.0112062905653755,0.32254862810073,0.264686460424894,-0.0528378165472664,0.0565674917504851,-0.125226160283508,-0.0311269599035297,0.311570328199187,0.225749337680881,0.02519175148324,0.0218598087876907,-0.0898280788305369,-0.227526137914248,0.707066647324659,-0.199816428005308,0.284248019088581,-1.36063873129164
141.667,0.134748032,0.91859198,0.097435768,-0.983313,0.010453,-0.181341,0.010108,-0.0329960611818513,0.337344005312614,-0.0485880418925013,0.0872638604500293,0.0111663345503112,0.322664066341195,0.264631837203802,-0.0528736382736986,0.0566171047592439,-0.124976915827458,-0.0311694974490731,0.311956576951469,0.225478578824226,0.0254160838965825,0.0217100572552898,-0.0896828020534579,-0.227409661078625,0.707192399248645,-0.200819073024776,0.283847675490336,-1.36073434170894
150,0.134795792,0.918607117,0.097439941,-0.9833,0.010405,-0.181412,0.010112,-0.0330352785147478,0.337539962756426,-0.048584564015762,0.0873796943979113,0.0111338484558226,0.322785031783079,0.264551932196117,-0.0528755006003642,0.056689792376782,-0.124736276256578,-0.0312011637229537,0.312343884947095,0.225242052796819,0.0255769876255348,0.0216054506640868,-0.0895795964547939,-0.227385810590485,0.707158851842322,-0.202040157152483,0.283098678939935,-1.36107735953646
158.333,0.134842026,0.918620117,0.097432167,-0.983286,0.010368,-0.181493,0.010121,-0.0331292711826141,0.337724510991251,-0.0486064758395349,0.0874828445645834,0.0110935464334363,0.322959395714066,0.264470490501712,-0.0527901591168622,0.0567450747728304,-0.124550900198712,-0.0312466784335115,0.312748011618884,0.225028236773141,0.0257284995911745,0.0215348732288042,-0.0894699560253263,-0.227215441634296,0.707288426713942,-0.203206477469278,0.282672176432618,-1.3609864184374
166.667,0.134892365,0.918633667,0.097415535,-0.983262,0.010333,-0.181623,0.010129,-0.0332257415365372,0.338040468538621,-0.0486457410352509,0.0876077931309615,0.0110613988317976,0.323145765295655,0.264374544584416,-0.052737310306068,0.0568008293574188,-0.124415969479023,-0.0312842506232938,0.313188983286007,0.224799077261542,0.0259446646097885,0.0215196458992631,-0.0893635701700933,-0.227028465109971,0.707383828781565,-0.204438199103579,0.281843462163222,-1.36107980789936
